filename,stage,xmin,xmax,ymin,ymax
1305121398-0001-R_S,R_S,919,994,887,953
1305121398-0001-R_S,R_S,1246,1351,1498,1610
1305121398-0001-R_S,R_S,1718,1788,310,393
1305121398-0003-R,R,1231,1319,850,936
1305121398-0004-R,R,815,881,1080,1152
1305121398-0004-R,R,1894,1985,1376,1452
1305121398-0005-T,T,1225,1332,1057,1148
1305121398-0006-R,R,1123,1211,1015,1098
1305121398-0007-R,R,1326,1413,1498,1582
1305121398-0008-R,R,1290,1385,1152,1249
1305121398-0010-S,S,1199,1320,1131,1232
1305121398-0011-S,S,1173,1281,953,1052
1305121398-0012-S,S,1183,1262,927,1067
1305121398-0013-S,S,1112,1219,1147,1260
1305121398-0014-S,S,1095,1205,1051,1165
1305121398-0015-S,S,838,971,1077,1202
1305121398-0016-S,S,1173,1282,1130,1243
1305121398-0017-R,R,1136,1205,1087,1155
1305121398-0018-S,S,1052,1171,932,1050
1305121398-0019-R,R,1089,1252,970,1123
1305121398-0020-S,S,1055,1156,1005,1106
1305121398-0021-S,S,1066,1211,1035,1207
1305121398-0022-S,S,1112,1215,938,1054
1307210661-0001-R,R,20,68,1239,1292
1307210661-0001-R,R,169,211,1431,1475
1307210661-0001-R,R,207,267,1437,1495
1307210661-0001-R,R,281,354,1766,1834
1307210661-0001-R,R,314,381,1483,1543
1307210661-0001-R,R,389,445,1750,1803
1307210661-0001-R,R,474,537,1522,1578
1307210661-0001-R,R,481,556,1162,1233
1307210661-0001-R,R,749,817,1241,1306
1307210661-0001-R,R,808,859,1483,1557
1307210661-0001-R,R,808,873,1715,1771
1307210661-0001-R,R,815,859,599,661
1307210661-0001-R,R,863,932,765,824
1307210661-0001-R,R,893,959,1252,1314
1307210661-0001-R,R,927,992,577,633
1307210661-0001-R,R,1019,1079,1383,1435
1307210661-0001-R,R,1036,1091,1217,1283
1307210661-0001-R,R,1111,1174,1088,1144
1307210661-0001-R,R,1268,1331,1185,1252
1307210661-0001-R,R,1369,1445,745,798
1307210661-0001-R,R,1579,1643,363,422
1307210661-0001-R,R,1708,1771,1603,1658
1307210661-0001-R,R,1733,1785,987,1043
1307210661-0001-R,R,1755,1811,1225,1283
1307210661-0001-R,R,1870,1937,1447,1520
1307210661-0001-R,R,1871,1929,1127,1197
1307210661-0001-R,R,1939,2011,933,990
1307210661-0001-R,R,1953,2030,58,113
1307210661-0001-R,R,2075,2151,1461,1531
1307210661-0001-R,R,2113,2175,1775,1841
1307210661-0001-R,R,2123,2180,621,674
1307210661-0002-R,R,190,274,27,107
1307210661-0002-R,R,417,495,1615,1665
1307210661-0002-R,R,468,520,1317,1370
1307210661-0002-R,R,530,604,879,948
1307210661-0002-R,R,753,807,680,726
1307210661-0002-R,R,829,909,1000,1043
1307210661-0002-R,R,910,981,1719,1758
1307210661-0002-R,R,923,965,404,482
1307210661-0002-R,R,957,1021,680,739
1307210661-0002-R,R,1183,1234,333,395
1307210661-0002-R,R,1188,1239,1763,1817
1307210661-0002-R,R,1196,1260,901,976
1307210661-0002-R,R,1298,1371,1201,1260
1307210661-0002-R,R,1345,1424,113,186
1307210661-0002-R,R,1582,1642,1647,1699
1307210661-0002-R,R,1594,1669,1387,1448
1307210661-0002-R,R,1596,1646,1326,1379
1307210661-0002-R,R,1612,1687,278,339
1307210661-0002-R,R,1759,1829,974,1036
1307210661-0002-R,R,1828,1903,137,200
1307210661-0002-R,R,2032,2096,1724,1789
1307210661-0002-R,R,2283,2347,1667,1718
1307210661-0002-R,R,2357,2425,846,902
1307210661-0002-R,R,2481,2536,989,1043
1307210661-0002-R,R,2508,2570,960,1008
1307210661-0003-R,R,102,186,47,107
1307210661-0003-R,R,294,373,764,831
1307210661-0003-R,R,419,492,190,271
1307210661-0003-R,R,461,529,1255,1326
1307210661-0003-R,R,554,610,1198,1269
1307210661-0003-R,R,678,743,800,869
1307210661-0003-R,R,705,766,1717,1778
1307210661-0003-R,R,763,840,792,853
1307210661-0003-R,R,776,834,1448,1512
1307210661-0003-R,R,778,862,1052,1109
1307210661-0003-R,R,836,909,749,822
1307210661-0003-R,R,1006,1067,1334,1409
1307210661-0003-R,R,1213,1288,1223,1278
1307210661-0003-R,R,1216,1309,1715,1779
1307210661-0003-R,R,1286,1354,542,606
1307210661-0003-R,R,1323,1381,1234,1299
1307210661-0003-R,R,1421,1506,994,1066
1307210661-0003-R,R,1531,1603,1284,1363
1307210661-0003-R,R,1582,1633,830,903
1307210661-0003-R,R,1670,1737,161,231
1307210661-0003-R,R,1743,1805,1098,1172
1307210661-0003-R,R,2011,2078,1168,1227
1307210661-0003-R,R,2160,2233,619,712
1307210661-0003-R,R,2189,2261,175,251
1307210661-0003-R,R,2246,2299,1095,1149
1307210661-0003-R,R,2246,2302,1280,1368
1307210661-0003-R,R,2271,2350,305,377
1307210661-0003-R,R,2277,2341,1799,1885
1307210661-0003-R,R,2291,2373,1022,1125
1307210661-0003-R,R,2371,2446,972,1045
1307210661-0004-R,R,261,330,472,536
1307210661-0004-R,R,282,356,70,143
1307210661-0004-R,R,489,537,1198,1268
1307210661-0004-R,R,582,653,70,135
1307210661-0004-R,R,594,668,298,351
1307210661-0004-R,R,619,690,1273,1323
1307210661-0004-R,R,796,843,400,470
1307210661-0004-R,R,832,899,1734,1779
1307210661-0004-R,R,883,938,1414,1481
1307210661-0004-R,R,895,950,1278,1343
1307210661-0004-R,R,898,960,402,459
1307210661-0004-R,R,909,963,304,377
1307210661-0004-R,R,934,993,207,291
1307210661-0004-R,R,981,1041,322,378
1307210661-0004-R,R,1065,1142,720,768
1307210661-0004-R,R,1080,1145,1024,1094
1307210661-0004-R,R,1096,1143,288,350
1307210661-0004-R,R,1138,1205,396,476
1307210661-0004-R,R,1165,1223,1731,1793
1307210661-0004-R,R,1176,1232,1647,1709
1307210661-0004-R,R,1261,1314,546,612
1307210661-0004-R,R,1460,1520,1257,1326
1307210661-0004-R,R,1515,1580,247,314
1307210661-0004-R,R,1554,1611,1036,1086
1307210661-0004-R,R,1677,1731,1350,1404
1307210661-0004-R,R,1800,1874,1105,1167
1307210661-0004-R,R,1804,1853,1714,1778
1307210661-0004-R,R,1817,1893,1168,1224
1307210661-0004-R,R,1858,1962,792,845
1307210661-0004-R,R,1971,2036,1062,1113
1307210661-0004-R,R,1995,2060,1536,1593
1307210661-0004-R,R,2319,2376,1116,1175
1307210661-0004-R,R,2329,2393,210,287
1307210661-0005-R,R,17,93,409,485
1307210661-0005-R,R,141,203,1195,1251
1307210661-0005-R,R,376,441,1547,1601
1307210661-0005-R,R,649,723,1359,1421
1307210661-0005-R,R,677,737,1845,1903
1307210661-0005-R,R,744,799,755,835
1307210661-0005-R,R,942,1005,1201,1271
1307210661-0005-R,R,969,1049,11,91
1307210661-0005-R,R,1004,1071,1679,1749
1307210661-0005-R,R,1060,1113,691,747
1307210661-0005-R,R,1071,1147,1274,1333
1307210661-0005-R,R,1073,1149,626,681
1307210661-0005-R,R,1285,1351,205,267
1307210661-0005-R,R,1329,1397,691,751
1307210661-0005-R,R,1366,1435,1572,1620
1307210661-0005-R,R,1443,1522,308,354
1307210661-0005-R,R,1615,1679,823,888
1307210661-0005-R,R,1647,1726,714,766
1307210661-0005-R,R,1687,1759,1360,1432
1307210661-0005-R,R,1717,1793,1032,1090
1307210661-0005-R,R,1776,1819,1295,1345
1307210661-0005-R,R,1791,1849,1150,1203
1307210661-0005-R,R,2063,2136,1351,1429
1307210661-0005-R,R,2110,2177,1178,1243
1307210661-0005-R,R,2354,2413,825,894
1307210661-0005-R,R,2384,2456,236,304
1307210661-0005-R,R,2505,2569,825,898
1307210661-0006-R,R,174,245,1764,1836
1307210661-0006-R,R,282,351,978,1049
1307210661-0006-R,R,316,396,714,770
1307210661-0006-R,R,324,388,799,858
1307210661-0006-R,R,440,515,1287,1373
1307210661-0006-R,R,490,572,841,899
1307210661-0006-R,R,596,666,1778,1847
1307210661-0006-R,R,763,821,1833,1895
1307210661-0006-R,R,774,864,564,654
1307210661-0006-R,R,813,888,1336,1398
1307210661-0006-R,R,1032,1098,939,990
1307210661-0006-R,R,1350,1418,1391,1453
1307210661-0006-R,R,1377,1442,1057,1128
1307210661-0006-R,R,1380,1449,981,1055
1307210661-0006-R,R,1741,1806,1140,1206
1307210661-0006-R,R,1819,1883,1774,1851
1307210661-0006-R,R,1947,2024,1728,1808
1307210661-0006-R,R,2097,2157,211,266
1307210661-0006-R,R,2112,2193,1287,1347
1307210661-0006-R,R,2220,2298,1636,1695
1307210661-0006-R,R,2239,2300,535,593
1307210661-0006-R,R,2317,2367,1368,1445
1307210661-0006-R,R,2322,2402,418,468
1307210661-0006-R,R,2361,2421,1276,1332
1307210661-0006-R,R,2434,2484,138,213
1307210661-0006-R,R,2472,2532,1177,1235
1307210661-0007-R,R,30,96,259,321
1307210661-0007-R,R,57,123,932,999
1307210661-0007-R,R,110,174,1281,1349
1307210661-0007-R,R,117,180,1578,1659
1307210661-0007-R,R,118,195,579,634
1307210661-0007-R,R,551,606,201,272
1307210661-0007-R,R,826,897,1458,1531
1307210661-0007-R,R,867,941,822,878
1307210661-0007-R,R,881,981,1231,1289
1307210661-0007-R,R,915,980,856,915
1307210661-0007-R,R,953,1000,388,449
1307210661-0007-R,R,979,1051,1511,1574
1307210661-0007-R,R,1034,1101,360,416
