filename,stage,xmin,xmax,ymin,ymax
1707180816-0001-G_R,G_R,1008,1157,525,661
1707180816-0001-G_R,G_R,1556,1657,622,706
1707180816-0002-T,T,1338,1493,796,872
1707180816-0003-T,T,1339,1421,911,1019
1707180816-0004-R,R,1360,1455,706,780
1707180816-0005-T,T,1374,1498,863,981
1707180816-0006-T,T,1462,1564,695,825
1707180816-0007-T,T,1240,1342,909,1010
1707180816-0008-G,G,1406,1564,795,946
1707180816-0009-T,T,1165,1318,842,944
1707180816-0010-T,T,1480,1617,820,931
1707180816-0011-R_T,R_T,1590,1662,1147,1234
1707180816-0012-T_R,T_R,355,520,1632,1786
1707180816-0012-T_R,T_R,1480,1575,196,299
1707180816-0013-T,T,1292,1409,1204,1316
1707180816-0015-T,T,766,958,715,831
1707180816-0016-R,R,1080,1178,602,707
1707180816-0017-G,G,909,1070,91,261
1707180816-0018-G,G,1726,1873,626,783
1707180816-0019-S,S,1358,1472,876,972
1707180816-0020-R_T,R_T,1033,1118,1549,1627
1707180816-0020-R_T,R_T,1281,1411,587,712
1708161076-0001-R,R,1449,1534,788,877
1708161076-0002-R,R,1334,1400,557,634
1708161076-0003-R,R,1209,1311,885,965
1708161076-0004-R,R,1291,1384,797,899
1708161076-0005-G,G,1160,1296,934,1074
1708161076-0006-R,R,940,1043,1229,1300
1708161076-0006-R,R,1364,1472,283,378
1708161076-0007-R,R,1248,1326,740,824
1708161076-0008-G,G,1346,1510,723,880
1708161076-0009-R,R,1704,1760,464,526
1708161076-0010-G,G,912,1070,613,785
