filename,stage,xmin,xmax,ymin,ymax
1703121298-0001-G_R,G_R,623,824,795,925
1703121298-0001-G_R,G_R,1611,1775,1074,1243
1703121298-0001-G_R,G_R,2224,2279,1270,1328
1703121298-0002-S,S,1142,1282,880,1041
1703121298-0003-R,R,1214,1263,1100,1150
1703121298-0004-R,R,1098,1220,436,548
1703121298-0005-R,R,1008,1050,1517,1555
1703121298-0006-R,R,1323,1411,536,614
1703121298-0006-R,R,1419,1479,1179,1283
1703121298-0007-R,R,1089,1171,876,962
1703121298-0008-G,G,1390,1565,824,1046
1703121298-0009-R,R,1318,1367,1077,1140
1703121298-0010-G,G,1088,1225,840,1033
1703121298-0010-G,G,1582,1736,695,869
1703121298-0011-R,R,739,879,770,926
1703121298-0012-G_R,G_R,803,982,262,420
1703121298-0012-G_R,G_R,1155,1262,720,799
1703121298-0015-R,R,1041,1133,915,1002
1703121298-0015-R,R,1127,1216,197,281
1703121298-0015-R,R,1428,1532,713,831
1703121298-0015-R,R,1540,1637,754,903
1703121298-0015-R,R,2251,2320,709,772
1703121298-0016-G,G,279,462,421,600
1703121298-0016-G,G,1831,1992,862,1016
1703121298-0017-R,R,1166,1294,390,559
1703121298-0017-R,R,1630,1696,1546,1626
1709041080-0013-R,R,1310,1432,763,890
1709041080-0014-R,R,1217,1330,742,874
1709041080-0015-R,R,1343,1426,1619,1694
1709041080-0016-S,S,1321,1476,717,878
1709041080-0017-R,R,1235,1357,774,886
1709041080-0018-R,R,1369,1452,913,1006
1709041080-0018-R,R,2045,2142,453,526
1709041080-0019-R,R,1472,1534,522,576
1709041080-0020-R,R,1269,1277,981,988
1709041080-0020-R,R,1269,1422,939,1056
1709041080-0021-R_T,R_T,1434,1545,701,782
1709041080-0021-R_T,R_T,1777,1846,678,764
1709041080-0022-T,T,1202,1360,618,767
1709041080-0023-R,R,934,1002,433,510
1709041080-0023-R,R,1180,1340,639,803
1709041080-0024-R,R,1400,1497,860,966
1709041080-0024-R,R,1502,1590,251,335
1709041080-0025-R_T,R_T,449,532,1472,1606
1709041080-0025-R_T,R_T,1038,1154,703,800
1709041080-0025-R_T,R_T,1236,1386,614,754
1709041080-0025-R_T,R_T,1531,1611,558,618
1709041080-0027-R,R,722,738,744,769
1709041080-0027-R,R,761,779,732,754
1709041080-0027-R,R,1482,1498,643,662
1709041080-0027-R,R,1549,1567,676,692
1709041080-0028-T,T,1274,1424,396,544
1709041080-0029-T,T,983,1129,1123,1305
1709041080-0030-S,S,1321,1494,417,578
1709041080-0031-S,S,1190,1372,707,885
1709041080-0032-S,S,384,552,233,377
1709041080-0032-S,S,1287,1469,741,925
1709041080-0033-S,S,1290,1434,395,529
1709041080-0034-R,R,1280,1342,316,392
1709041080-0035-S,S,1381,1547,578,778
1709041080-0036-S_R,S_R,1315,1483,475,629
1709041080-0036-S_R,S_R,1470,1541,957,1031
1709041080-0037-S,S,1230,1401,639,743
1709041080-0038-S,S,1140,1271,480,626
